# zmin      zmax        nz_BGS     bias_BGS    nz_LRG    bias_LRG    nz_ELG    bias_ELG    nz_QSO     bias_QSO 
0.00        0.10        1011.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2
0.10        0.20        2313.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2
0.20        0.30        2169.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2
0.30        0.40         973.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2
0.40        0.50           0.0       1.34     475.0       1.7         0.0        0.84         0.0       1.2
0.50        0.60           0.0       1.34     656.0       1.7         0.0        0.84         0.0       1.2
0.60        0.70           0.0       1.34     800.0       1.7         0.0        0.84         0.0       1.2
0.70        0.80           0.0       1.34     932.0       1.7         0.0        0.84         0.0       1.2
0.80        0.90           0.0       1.34     993.0       1.7         0.0        0.84         0.0       1.2
0.90        1.00           0.0       1.34     637.0       1.7         0.0        0.84         0.0       1.2
1.00        1.10           0.0       1.34     283.0       1.7         0.0        0.84         0.0       1.2
1.10        1.20           0.0       1.34       0.0       1.7      1080.0        0.84         0.0       1.2
1.20        1.30           0.0       1.34       0.0       1.7      1036.0        0.84         0.0       1.2
1.30        1.40           0.0       1.34       0.0       1.7       971.0        0.84         0.0       1.2
1.40        1.50           0.0       1.34       0.0       1.7       877.0        0.84         0.0       1.2
1.50        1.60           0.0       1.34       0.0       1.7       554.0        0.84         0.0       1.2
1.60        1.70           0.0       1.34       0.0       1.7         0.0        0.84       121.0       1.2
1.70        1.80           0.0       1.34       0.0       1.7         0.0        0.84       118.0       1.2
1.80        1.90           0.0       1.34       0.0       1.7         0.0        0.84       111.0       1.2
1.90        2.00           0.0       1.34       0.0       1.7         0.0        0.84       106.0       1.2
2.00        2.10           0.0       1.34       0.0       1.7         0.0        0.84        95.0       1.2
